/Users/sucharith/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting 48143 URLs -> production_run/output/full_validated.csv, production_run/output/full_unresolved.csv
[progress] 718/48143 (1.5%) validated=404 unresolved=314 rate=31.3/min eta=90957s
[progress] 723/48143 (1.5%) validated=405 unresolved=318 rate=31.2/min eta=91101s
[progress] 725/48143 (1.5%) validated=406 unresolved=319 rate=31.3/min eta=90977s
[progress] 730/48143 (1.5%) validated=409 unresolved=321 rate=31.3/min eta=90999s
[progress] 735/48143 (1.5%) validated=410 unresolved=325 rate=31.2/min eta=91048s
[progress] 741/48143 (1.5%) validated=410 unresolved=331 rate=31.2/min eta=91064s
[progress] 747/48143 (1.6%) validated=412 unresolved=335 rate=31.2/min eta=91048s
[progress] 750/48143 (1.6%) validated=413 unresolved=337 rate=31.2/min eta=91059s
[progress] 755/48143 (1.6%) validated=414 unresolved=341 rate=31.2/min eta=91127s
[progress] 761/48143 (1.6%) validated=418 unresolved=343 rate=31.2/min eta=91094s
[progress] 767/48143 (1.6%) validated=421 unresolved=346 rate=31.2/min eta=91111s
[progress] 772/48143 (1.6%) validated=423 unresolved=349 rate=31.2/min eta=91179s
[progress] 775/48143 (1.6%) validated=423 unresolved=352 rate=31.2/min eta=91128s
[progress] 780/48143 (1.6%) validated=428 unresolved=352 rate=31.2/min eta=91147s
[progress] 786/48143 (1.6%) validated=429 unresolved=357 rate=31.2/min eta=91158s
[progress] 791/48143 (1.6%) validated=430 unresolved=361 rate=31.2/min eta=91171s
[progress] 796/48143 (1.7%) validated=432 unresolved=364 rate=31.2/min eta=91185s
[progress] 800/48143 (1.7%) validated=433 unresolved=367 rate=31.1/min eta=91297s
[progress] 806/48143 (1.7%) validated=434 unresolved=372 rate=31.1/min eta=91209s
[progress] 811/48143 (1.7%) validated=434 unresolved=377 rate=31.1/min eta=91263s
[progress] 817/48143 (1.7%) validated=435 unresolved=382 rate=31.1/min eta=91232s
[progress] 822/48143 (1.7%) validated=437 unresolved=385 rate=31.1/min eta=91268s
[progress] 825/48143 (1.7%) validated=437 unresolved=388 rate=31.1/min eta=91251s
[progress] 831/48143 (1.7%) validated=438 unresolved=393 rate=31.1/min eta=91296s
[progress] 837/48143 (1.7%) validated=442 unresolved=395 rate=31.1/min eta=91280s
[progress] 843/48143 (1.8%) validated=443 unresolved=400 rate=31.0/min eta=91418s
[progress] 848/48143 (1.8%) validated=445 unresolved=403 rate=31.0/min eta=91432s
[progress] 850/48143 (1.8%) validated=446 unresolved=404 rate=31.0/min eta=91437s
[progress] 857/48143 (1.8%) validated=449 unresolved=408 rate=31.1/min eta=91315s
[progress] 862/48143 (1.8%) validated=451 unresolved=411 rate=31.1/min eta=91325s
[progress] 867/48143 (1.8%) validated=453 unresolved=414 rate=31.1/min eta=91353s
[progress] 873/48143 (1.8%) validated=455 unresolved=418 rate=31.0/min eta=91344s
[progress] 875/48143 (1.8%) validated=455 unresolved=420 rate=31.0/min eta=91348s
[progress] 880/48143 (1.8%) validated=456 unresolved=424 rate=31.0/min eta=91359s
[progress] 886/48143 (1.8%) validated=458 unresolved=428 rate=31.0/min eta=91366s
[progress] 891/48143 (1.9%) validated=460 unresolved=431 rate=31.0/min eta=91396s
[progress] 897/48143 (1.9%) validated=462 unresolved=435 rate=31.0/min eta=91467s
[progress] 900/48143 (1.9%) validated=463 unresolved=437 rate=31.0/min eta=91408s
[progress] 906/48143 (1.9%) validated=466 unresolved=440 rate=31.0/min eta=91401s
[progress] 911/48143 (1.9%) validated=469 unresolved=442 rate=31.0/min eta=91529s
[progress] 918/48143 (1.9%) validated=473 unresolved=445 rate=31.0/min eta=91414s
[progress] 923/48143 (1.9%) validated=475 unresolved=448 rate=31.0/min eta=91422s
[progress] 925/48143 (1.9%) validated=475 unresolved=450 rate=31.0/min eta=91464s
[progress] 931/48143 (1.9%) validated=478 unresolved=453 rate=31.0/min eta=91434s
[progress] 937/48143 (1.9%) validated=480 unresolved=457 rate=31.0/min eta=91457s
[progress] 943/48143 (2.0%) validated=483 unresolved=460 rate=30.9/min eta=91513s
[progress] 949/48143 (2.0%) validated=488 unresolved=461 rate=31.0/min eta=91456s
[progress] 950/48143 (2.0%) validated=488 unresolved=462 rate=31.0/min eta=91461s
[progress] 956/48143 (2.0%) validated=489 unresolved=467 rate=31.0/min eta=91462s
[progress] 961/48143 (2.0%) validated=492 unresolved=469 rate=30.9/min eta=91470s
[progress] 966/48143 (2.0%) validated=495 unresolved=471 rate=30.9/min eta=91478s
[progress] 972/48143 (2.0%) validated=499 unresolved=473 rate=30.9/min eta=91478s
[progress] 975/48143 (2.0%) validated=501 unresolved=474 rate=30.9/min eta=91500s
[progress] 980/48143 (2.0%) validated=503 unresolved=477 rate=30.9/min eta=91506s
[progress] 985/48143 (2.0%) validated=506 unresolved=479 rate=30.9/min eta=91525s
[progress] 991/48143 (2.1%) validated=508 unresolved=483 rate=30.9/min eta=91496s
[progress] 996/48143 (2.1%) validated=509 unresolved=487 rate=30.9/min eta=91501s
[progress] 1000/48143 (2.1%) validated=511 unresolved=489 rate=30.9/min eta=91561s
[progress] 1006/48143 (2.1%) validated=514 unresolved=492 rate=30.9/min eta=91528s
[progress] 1012/48143 (2.1%) validated=517 unresolved=495 rate=30.9/min eta=91514s
[progress] 1017/48143 (2.1%) validated=520 unresolved=497 rate=30.9/min eta=91534s
[progress] 1023/48143 (2.1%) validated=524 unresolved=499 rate=30.9/min eta=91540s
[progress] 1025/48143 (2.1%) validated=525 unresolved=500 rate=30.9/min eta=91623s
[progress] 1032/48143 (2.1%) validated=530 unresolved=502 rate=30.9/min eta=91528s
[progress] 1037/48143 (2.2%) validated=535 unresolved=502 rate=30.9/min eta=91536s
[progress] 1042/48143 (2.2%) validated=537 unresolved=505 rate=30.9/min eta=91554s
[progress] 1048/48143 (2.2%) validated=540 unresolved=508 rate=30.9/min eta=91560s
[progress] 1050/48143 (2.2%) validated=540 unresolved=510 rate=30.9/min eta=91539s
[progress] 1056/48143 (2.2%) validated=542 unresolved=514 rate=30.9/min eta=91567s
[progress] 1062/48143 (2.2%) validated=545 unresolved=517 rate=30.9/min eta=91546s
[progress] 1068/48143 (2.2%) validated=549 unresolved=519 rate=30.9/min eta=91549s
[progress] 1072/48143 (2.2%) validated=549 unresolved=523 rate=30.8/min eta=91675s
[progress] 1075/48143 (2.2%) validated=549 unresolved=526 rate=30.8/min eta=91638s
[progress] 1080/48143 (2.2%) validated=553 unresolved=527 rate=30.8/min eta=91657s
[progress] 1087/48143 (2.3%) validated=557 unresolved=530 rate=30.8/min eta=91571s
[progress] 1092/48143 (2.3%) validated=559 unresolved=533 rate=30.8/min eta=91627s
[progress] 1098/48143 (2.3%) validated=559 unresolved=539 rate=30.8/min eta=91563s
[progress] 1100/48143 (2.3%) validated=561 unresolved=539 rate=30.8/min eta=91565s
[progress] 1106/48143 (2.3%) validated=563 unresolved=543 rate=30.8/min eta=91564s
[progress] 1111/48143 (2.3%) validated=565 unresolved=546 rate=30.8/min eta=91566s
[progress] 1116/48143 (2.3%) validated=567 unresolved=549 rate=30.8/min eta=91568s
[progress] 1121/48143 (2.3%) validated=568 unresolved=553 rate=30.8/min eta=91606s
[progress] 1125/48143 (2.3%) validated=569 unresolved=556 rate=30.8/min eta=91570s
[progress] 1130/48143 (2.3%) validated=571 unresolved=559 rate=30.8/min eta=91574s
[progress] 1135/48143 (2.4%) validated=574 unresolved=561 rate=30.8/min eta=91576s
[progress] 1140/48143 (2.4%) validated=574 unresolved=566 rate=30.8/min eta=91594s
[progress] 1146/48143 (2.4%) validated=579 unresolved=567 rate=30.8/min eta=91580s
[progress] 1150/48143 (2.4%) validated=580 unresolved=570 rate=30.8/min eta=91574s
[progress] 1155/48143 (2.4%) validated=580 unresolved=575 rate=30.8/min eta=91576s
[progress] 1161/48143 (2.4%) validated=581 unresolved=580 rate=30.8/min eta=91569s
[progress] 1166/48143 (2.4%) validated=582 unresolved=584 rate=30.8/min eta=91582s
[progress] 1172/48143 (2.4%) validated=585 unresolved=587 rate=30.8/min eta=91584s
[progress] 1175/48143 (2.4%) validated=585 unresolved=590 rate=30.8/min eta=91569s
